"Defunciones por homicidios"
""
"Consulta de: Defunciones por homicidio   Por: Año de registro   Según: Sexo"
"","Total","Hombre","Mujer","No especificado",""
"1990","14,493","12,932","1,519","42"
"1991","15,128","13,553","1,534","41"
"1992","16,594","14,935","1,623","36"
"1993","16,040","14,468","1,553","19"
"1994","15,839","14,343","1,476","20"
"1995","15,612","14,067","1,525","20"
"1996","14,505","13,030","1,460","15"
"1997","13,552","12,166","1,370","16"
"1998","13,656","12,111","1,531","14"
"1999","12,249","10,827","1,411","11"
"2000","10,737","9,442","1,284","11"
"2001","10,285","8,986","1,282","17"
"2002","10,088","8,797","1,280","11"
"2003","10,087","8,754","1,316","17"
"2004","9,329","8,115","1,206","8"
"2005","9,921","8,610","1,297","14"
"2006","10,452","9,143","1,298","11"
"2007","8,867","7,776","1,083","8"
"2008","14,006","12,574","1,425","7"
"2009","19,803","17,838","1,925","40"
"2010","25,757","23,285","2,418","54"
"2011","27,213","24,257","2,693","263"
"2012","25,967","22,986","2,764","217"
"2013","23,063","20,280","2,648","135"
"2014","20,010","17,503","2,408","99"
"2015","20,762","18,293","2,383","86"
"2016","24,559","21,673","2,813","73"
"2017","32,079","28,522","3,430","127"

"FUENTE: INEGI. Estadísticas de mortalidad."
